垢	垢 廣州話：gau3
垣	垣 廣州話：wun4
垮	垮 廣州話：kwaa1
埃	埃 廣州話：oi1_(又)aai1
埋	埋 廣州話：maai4
城	城 廣州話：sing4
埔	埔 廣州話：bou3
域	域 廣州話：wik6
埠	埠 廣州話：fau6
執	執 廣州話：zap1
培	培 廣州話：pui4
基	基 廣州話：gei1
堂	堂 廣州話：tong4
堅	堅 廣州話：gin1
堆	堆 廣州話：deoi1
堡	堡 廣州話：bou2
堤	堤 廣州話：tai4
堪	堪 廣州話：ham1
堯	堯 廣州話：jiu4
堰	堰 廣州話：jin2
報	報 廣州話：bou3
場	場 廣州話：coeng4
堵	堵 廣州話：dou2
塊	塊 廣州話：faai3
塌	塌 廣州話：taap3
塑	塑 廣州話：sou3
塔	塔 廣州話：taap3
塗	塗 廣州話：tou4
塘	塘 廣州話：tong4
塚	塚 廣州話：cung2
塞	塞 廣州話：1)sak1:堵塞_2)coi3:塞外
塢	塢 廣州話：1)wu2:山塢_2)ou3:船塢
填	填 廣州話：tin4
塵	塵 廣州話：can4
塹	塹 廣州話：cim3
塾	塾 廣州話：suk6
墀	墀 廣州話：ci4
境	境 廣州話：ging2
墅	墅 廣州話：seoi5_(又)seoi6
墊	墊 廣州話：din3_(又)din6
墓	墓 廣州話：mou6
墜	墜 廣州話：zeoi6
增	增 廣州話：zang1
墟	墟 廣州話：heoi1
墨	墨 廣州話：mak6
墩	墩 廣州話：deon1
墮	墮 廣州話：do6
